thrds,tps,qps,99% latency
64,4629.03,74066.32,18.28
64,4610.58,73769.53,18.28
64,4611.00,73770.67,18.61
64,4607.16,73717.53,18.28
64,4610.63,73763.74,18.61
64,4621.12,73944.77,18.28
64,4608.87,73744.48,18.28
64,4613.35,73821.63,18.28
64,4612.63,73789.50,18.28
64,4605.41,73698.62,18.28
64,4615.41,73836.15,18.28
64,4601.20,73626.45,18.61
64,4616.78,73852.55,18.28
64,4596.20,73561.02,18.61
64,4612.44,73792.97,18.28
64,4608.58,73728.60,18.28
64,4610.99,73769.49,18.28
64,4606.62,73727.79,18.28
64,4616.51,73860.53,18.28
64,4609.38,73730.00,18.28
64,4617.48,73896.47,18.28
64,4621.81,73943.01,18.28
64,4610.94,73765.25,18.28
64,4606.07,73708.71,18.28
64,4613.62,73818.24,18.28
64,4614.81,73840.89,18.28
64,4621.79,73951.02,18.28
64,4618.78,73896.94,18.61
64,4618.81,73903.12,18.61
64,4612.52,73790.72,18.28
64,4605.80,73700.47,18.61
64,4600.09,73607.46,18.61
64,4614.54,73838.27,18.28
64,4620.04,73908.57,18.28
64,4617.63,73878.08,18.28
64,4600.77,73620.48,18.61
64,4612.04,73790.63,18.28
64,4605.54,73689.23,18.61
64,4613.07,73812.28,18.28
64,4605.16,73669.77,18.61
64,4614.21,73826.94,18.28
64,4610.73,73776.50,18.28
64,4610.85,73786.44,18.28
64,4605.52,73671.55,18.61
64,4601.99,73644.38,18.61
64,4617.93,73884.25,18.28
64,4617.15,73869.62,18.28
64,4606.22,73695.51,18.28
64,4602.23,73630.15,18.28
64,4608.70,73752.33,18.61
64,4592.37,73467.71,18.28
64,4610.70,73771.22,18.28
64,4615.34,73848.97,18.28
64,4606.39,73706.71,18.28
64,4605.95,73696.26,18.61
64,4616.09,73842.63,18.28
64,4622.22,73956.25,18.61
64,4604.77,73687.73,18.28
64,4606.17,73709.24,18.28
64,4610.02,73742.29,18.28
64,4615.65,73845.32,18.28
64,4617.00,73880.45,18.28
64,4611.80,73796.06,18.28
64,4614.29,73828.06,18.28
64,4610.73,73773.56,18.28
64,4607.78,73718.83,18.28
64,4623.80,73989.42,18.28
64,4613.20,73807.47,18.28
64,4609.61,73757.37,18.28
64,4619.41,73909.31,18.28
64,4617.10,73855.55,18.28
64,4604.59,73669.69,18.28
64,4610.77,73789.38,18.28
64,4613.71,73815.39,18.28
64,4603.41,73653.33,18.28
64,4606.74,73710.76,18.28
64,4615.65,73851.65,18.28
64,4608.32,73735.75,18.28
64,4606.81,73707.80,18.28
64,4609.98,73763.90,18.28
64,4609.29,73741.39,18.61
64,4617.01,73872.81,18.28
64,4617.99,73891.71,18.28
64,4606.99,73710.62,18.61
64,4625.14,74001.59,18.28
64,4614.04,73820.40,18.28
64,4618.26,73895.63,18.28
64,4612.67,73792.93,18.28
64,4611.41,73792.71,18.28
64,4606.40,73693.36,18.61
64,4606.82,73712.13,18.28
64,4596.22,73539.91,18.28
64,4605.60,73691.87,18.28
64,4609.96,73750.74,18.28
64,4613.40,73834.67,18.28
64,4616.81,73846.61,18.28
64,4617.96,73896.91,18.28
64,4612.24,73805.71,18.28
64,4616.79,73855.29,18.28
64,4598.05,73573.15,18.28
64,4612.43,73788.60,18.28
64,4614.38,73838.09,18.28
64,4620.01,73910.90,18.28
64,4603.98,73689.96,18.61
64,4616.25,73844.54,18.28
64,4605.77,73692.89,18.28
64,4610.21,73762.72,18.28
64,4613.81,73823.42,18.28
64,4610.44,73764.97,18.28
64,4604.58,73670.35,18.61
64,4606.81,73714.84,18.28
64,4624.54,73982.61,18.28
64,4607.28,73725.46,18.28
64,4609.17,73739.10,18.61
64,4610.51,73778.95,18.28
64,4614.38,73837.09,18.28
64,4609.63,73740.65,18.28
64,4609.96,73769.69,18.28
64,4614.20,73819.95,18.28
64,4613.11,73809.34,18.28
64,4607.82,73725.58,18.28
64,4607.70,73736.39,18.28
64,4608.01,73721.79,18.28
64,4603.28,73649.86,18.28
64,4620.92,73931.73,18.28
64,4616.06,73861.01,18.28
64,4613.77,73822.70,18.28
64,4612.82,73792.85,18.28
64,4614.05,73836.12,18.28
64,4606.94,73700.22,18.28
64,4610.82,73775.77,18.61
64,4604.61,73686.88,18.28
64,4620.78,73926.66,18.61
64,4613.02,73799.71,18.28
64,4606.40,73691.37,18.61
64,4603.97,73669.25,18.61
64,4611.85,73799.12,18.28
64,4612.79,73808.05,18.28
64,4609.98,73754.04,18.61
64,4599.44,73599.10,18.28
64,4612.36,73796.60,18.28
64,4611.25,73781.44,18.28
64,4613.32,73810.12,18.28
64,4616.85,73865.73,18.28
64,4596.39,73555.70,18.61
64,4602.98,73631.65,18.61
64,4614.03,73815.52,18.61
64,4609.59,73768.92,18.28
64,4612.58,73801.47,18.28
64,4613.86,73818.98,18.28
64,4609.81,73750.49,18.28
64,4617.55,73884.48,18.61
64,4616.71,73874.04,18.28
64,4590.77,73460.51,18.61
64,4621.23,73916.01,18.28
64,4618.82,73903.31,18.28
64,4608.40,73734.23,18.28
64,4614.58,73840.30,18.28
64,4608.62,73742.86,18.28
64,4610.40,73768.97,18.28
64,4620.00,73904.84,18.28
64,4608.01,73732.37,18.28
64,4615.59,73848.47,18.28
64,4611.61,73787.41,18.28
64,4611.86,73788.49,18.28
64,4614.63,73844.13,18.28
64,4617.33,73858.33,18.28
64,4607.35,73733.68,18.28
64,4614.81,73840.51,18.28
64,4613.78,73810.02,18.28
64,4612.05,73801.99,18.28
64,4614.23,73819.07,18.28
64,4608.18,73740.75,18.61
64,4614.48,73810.95,18.28
64,4612.54,73815.92,18.28
64,4603.67,73659.72,18.61
64,4601.94,73626.40,18.28
64,4601.24,73618.62,18.28
64,4603.16,73651.39,18.95
64,4612.35,73792.74,18.28
64,4616.23,73869.32,18.28
64,4615.62,73851.57,18.28
64,4599.41,73588.95,18.61
64,4613.70,73812.00,18.28
64,4618.91,73906.20,18.28
64,4620.76,73944.19,18.28
64,4612.42,73789.85,18.28
64,4610.75,73773.83,18.28
64,4609.27,73749.66,18.28
64,4611.79,73781.42,18.28
64,4612.52,73799.98,18.28
64,4611.38,73772.80,18.61
64,4620.00,73928.38,18.28
64,4615.39,73858.83,18.28
64,4613.82,73804.57,18.28
64,4601.38,73625.89,18.28
64,4614.83,73853.54,18.28
64,4610.45,73754.61,18.28
64,4610.42,73763.27,18.28
64,4621.78,73956.82,18.28
64,4616.01,73848.95,18.28
64,4607.41,73714.56,18.28
64,4603.57,73665.76,18.28
64,4616.01,73850.29,18.28
64,4614.21,73825.17,18.28
64,4608.41,73743.82,18.28
64,4620.42,73931.72,18.61
